date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:50:05	5536/5536	---M--	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2007:23:29%20GMT	https://boomchart.net/kingsmen/asset/js/toast.js	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/js/toast.js	(from https://boomchart.net/kingsmen/admin)
23:50:06	18516/18516	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/nucleo/fonts/nucleo-icons.eot	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/nucleo/fonts/nucleo-icons.eot	(from https://boomchart.net/kingsmen/asset/dashboard/vendor/nucleo/css/nucleo.css)
23:50:08	8580/8580	---M--	200	added ('OK')	font/woff2	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/nucleo/fonts/nucleo-icons.woff2	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/nucleo/fonts/nucleo-icons.woff2	(from https://boomchart.net/kingsmen/asset/dashboard/vendor/nucleo/css/nucleo.css)
23:50:10	10220/10220	---M--	200	added ('OK')	font/woff	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/nucleo/fonts/nucleo-icons.woff	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/nucleo/fonts/nucleo-icons.woff	(from https://boomchart.net/kingsmen/asset/dashboard/vendor/nucleo/css/nucleo.css)
23:50:12	18292/18292	---M--	200	added ('OK')	font/ttf	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/nucleo/fonts/nucleo-icons.ttf	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/nucleo/fonts/nucleo-icons.ttf	(from https://boomchart.net/kingsmen/asset/dashboard/vendor/nucleo/css/nucleo.css)
23:50:14	126098/126098	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/nucleo/fonts/nucleo-icons.svg	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/nucleo/fonts/nucleo-icons.svg	(from https://boomchart.net/kingsmen/asset/dashboard/vendor/nucleo/css/nucleo.css)
23:50:16	129648/129648	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.eot	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.eot	(from https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/css/all.min.css)
23:50:17	129648/129648	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.eot?	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400d41d.eot	(from https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/css/all.min.css)
23:50:19	74656/74656	---M--	200	added ('OK')	font/woff2	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.woff2	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.woff2	(from https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/css/all.min.css)
23:50:22	87544/87544	---M--	200	added ('OK')	font/woff	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.woff	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.woff	(from https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/css/all.min.css)
23:50:23	129344/129344	---M--	200	added ('OK')	font/ttf	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.ttf	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.ttf	(from https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/css/all.min.css)
23:50:27	691865/691865	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.svg	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.svg	(from https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/css/all.min.css)
23:50:27	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.eot	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.eot	(from https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/css/all.min.css)
23:50:29	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.eot?	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400d41d.eot	(from https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/css/all.min.css)
23:50:31	13584/13584	---M--	200	added ('OK')	font/woff2	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.woff2	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.woff2	(from https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/css/all.min.css)
23:50:32	16804/16804	---M--	200	added ('OK')	font/woff	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.woff	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.woff	(from https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/css/all.min.css)
23:50:34	34092/34092	---M--	200	added ('OK')	font/ttf	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.ttf	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.ttf	(from https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/css/all.min.css)
23:50:36	144451/144451	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.svg	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.svg	(from https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/css/all.min.css)
23:50:39	186708/186708	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-solid-900.eot	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-solid-900.eot	(from https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/css/all.min.css)
23:50:41	186708/186708	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-solid-900.eot?	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-solid-900d41d.eot	(from https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/css/all.min.css)
23:50:42	74328/74328	---M--	200	added ('OK')	font/woff2	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-solid-900.woff2	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-solid-900.woff2	(from https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/css/all.min.css)
23:50:44	96256/96256	---M--	200	added ('OK')	font/woff	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-solid-900.woff	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-solid-900.woff	(from https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/css/all.min.css)
23:50:47	186424/186424	---M--	200	added ('OK')	font/ttf	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-solid-900.ttf	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-solid-900.ttf	(from https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/css/all.min.css)
23:50:52	2499/2499	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Aug%202020%2016:11:35%20GMT	https://boomchart.net/kingsmen/asset/images/flag.png	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/images/flag.png	(from https://boomchart.net/kingsmen/asset/dashboard/css/argon.css?v=1.1.0)
23:50:55	816852/816852	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-solid-900.svg	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/webfonts/fa-solid-900.svg	(from https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/css/all.min.css)
23:50:56	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Jun%202021%2005:51:08%20GMT	https://boomchart.net/kingsmen/asset/fonts/boing/boing_semibold_web.eot	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/fonts/boing/boing_semibold_web.3d.delayed	(from https://boomchart.net/kingsmen/asset/dashboard/css/argon.css?v=1.1.0)
23:50:58	90040/90040	---M--	200	added ('OK')	font/woff	date:Thu,%2009%20Apr%202020%2008:03:12%20GMT	https://boomchart.net/kingsmen/asset/fonts/boing/boing_semibold_web.woff	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/fonts/boing/boing_semibold_web.woff	(from https://boomchart.net/kingsmen/asset/dashboard/css/argon.css?v=1.1.0)
23:50:59	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Jun%202021%2005:51:11%20GMT	https://boomchart.net/kingsmen/asset/fonts/boing/boing_semibold_web.ttf	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/fonts/boing/boing_semibold_web.3f.delayed	(from https://boomchart.net/kingsmen/asset/dashboard/css/argon.css?v=1.1.0)
